TargetSendRate,meanSucc,stdSucc,meanFail,stdFail,meanSendRate,stdSendRate,meanMaxLatency,stdMaxLatency,meanMinLatency,stdMinLatency,meanAvgLatency,stdAvgLatency,meanThroughput,stdThroughput,meanDropRatio,stdDropRatio
20.0,384.0,,0.0,,26.1,,2.23,,0.08,,0.36,,22.8,,0.0,
40.0,576.0,,0.0,,46.8,,2.22,,0.08,,0.38,,39.9,,0.0,
60.0,768.0,,0.0,,66.8,,2.2,,0.08,,0.33,,56.3,,0.0,
80.0,960.0,,0.0,,86.5,,1.3,,0.08,,0.32,,84.1,,0.0,
100.0,1152.0,,0.0,,106.1,,2.19,,0.09,,0.32,,88.6,,0.0,
120.0,1344.0,,0.0,,125.7,,2.16,,0.09,,0.3,,104.9,,0.0,
140.0,1536.0,,0.0,,145.6,,2.2,,0.09,,0.3,,120.9,,0.0,
160.0,1728.0,,0.0,,164.4,,2.17,,0.08,,0.33,,136.7,,0.0,
180.0,1920.0,,0.0,,184.0,,0.89,,0.12,,0.5,,173.3,,0.0,
200.0,2112.0,,0.0,,203.6,,2.15,,0.13,,1.01,,168.7,,0.0,
220.0,2304.0,,0.0,,222.7,,2.94,,0.1,,1.55,,174.0,,0.0,
240.0,2496.0,,0.0,,242.3,,4.19,,0.12,,2.19,,172.9,,0.0,
260.0,2784.0,,0.0,,261.6,,5.82,,0.11,,3.15,,169.4,,0.0,
280.0,2976.0,,0.0,,281.5,,6.62,,0.11,,3.42,,173.5,,0.0,
300.0,3168.0,,0.0,,301.3,,7.76,,0.1,,4.06,,173.9,,0.0,
320.0,3360.0,,0.0,,320.7,,9.25,,0.2,,4.81,,171.1,,0.0,
340.0,3552.0,,0.0,,339.9,,10.28,,0.11,,5.42,,172.0,,0.0,
360.0,3744.0,,0.0,,358.5,,11.42,,0.1,,5.97,,171.5,,0.0,
380.0,3936.0,,0.0,,377.3,,12.83,,0.11,,6.63,,170.6,,0.0,
400.0,4128.0,,0.0,,395.1,,13.85,,0.1,,7.29,,170.5,,0.0,
420.0,4320.0,,0.0,,415.1,,14.94,,0.11,,7.94,,171.3,,0.0,
440.0,4512.0,,0.0,,436.4,,16.46,,0.11,,8.62,,169.3,,0.0,
460.0,4704.0,,0.0,,455.6,,18.13,,0.24,,9.19,,168.6,,0.0,
480.0,4896.0,,0.0,,474.2,,18.68,,0.11,,9.77,,169.6,,0.0,
500.0,5184.0,,0.0,,494.3,,20.41,,0.12,,10.48,,169.4,,0.0,
520.0,5376.0,,0.0,,514.1,,22.87,,0.12,,11.13,,168.8,,0.0,
540.0,5568.0,,0.0,,532.5,,22.91,,0.13,,11.64,,170.1,,0.0,
560.0,5760.0,,0.0,,551.4,,23.98,,0.12,,12.56,,167.9,,0.0,
580.0,5952.0,,0.0,,570.9,,25.15,,0.11,,13.21,,168.0,,0.0,
600.0,6144.0,,0.0,,590.0,,25.99,,0.1,,13.62,,169.0,,0.0,
